instrument_token,,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
136453636,,533022,20MICRONS,20 MICRONS.,0,,0,0.05,1,EQ,BSE,BSE
134891780,,526921,21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT,0,,0,0.05,1,EQ,BSE,BSE
136352772,,532628,3IINFOTECH,3I INFOTECH.,0,,0,0.05,1,EQ,BSE,BSE
133989124,,523395,3MINDIA,3M INDIA.,0,,0,0.05,1,EQ,BSE,BSE
132119556,,516092,3PLAND,3P LAND HOLDINGS.,0,,0,0.05,1,EQ,BSE,BSE
136295172,,532403,4THGEN,FOURTH GENERATION INFORMATION,0,,0,0.01,1,EQ,BSE,BSE
138438660,,540776,5PAISA,5PAISA CAPITAL ,0,,0,0.05,1,EQ,BSE,BSE
134881540,,526881,63MOONS,63 MOONS TECHNOLOGIES ,0,,0,0.05,1,EQ,BSE,BSE
138397444,,540615,7NR,7NR RETAIL ,0,,0,0.01,1,EQ,BSE,BSE
138463748,,540874,7SEASL,7SEAS ENTERTAINMENT,0,,0,0.05,1,EQ,BSE,BSE
136295428,,532404,7TEC,SAVEN TECHNOLOGIES.,0,,0,0.05,1,EQ,BSE,BSE
136522756,,533292,A2ZINFRA,A2Z INFRA ENGINEERING,0,,0,0.01,1,EQ,BSE,BSE
135686916,,530027,AADIIND,AADI INDUSTRIES.,0,,0,0.01,1,EQ,BSE,BSE
135838980,,530621,AAIL,AKAR AUTO INDUSTRIES ,0,,0,0.05,1,EQ,BSE,BSE
138755076,,542012,AAL,A-1 ACID ,0,,0,0.05,1,EQ,BSE,BSE
138008580,,539096,AANANDALAK,AANANDA LAKSHMI SPINNING MILLS,0,,0,0.01,1,EQ,BSE,BSE
137935876,,538812,AANCHALISP,AANCHAL ISPAT ,0,,0,0.05,1,EQ,BSE,BSE
138127876,,539562,AARNAV,AARNAV FASHIONS,0,,0,0.05,1,EQ,BSE,BSE
138848516,,542377,AARSHYAM,AAR SHYAM INDIA INVESTMENT COM,0,,0,0.01,1,EQ,BSE,BSE
134233092,,524348,AARTIDRUGS,AARTI DRUGS.,0,,0,0.05,1,EQ,BSE,BSE
134197252,,524208,AARTIIND,AARTI INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
139061764,,543210,AARTISURF,AARTI SURFACTANTS ,0,,0,0.05,1,EQ,BSE,BSE
131654148,,514274,AARVEEDEN,AARVEE DENIMS & EXPORTS.,0,,0,0.05,1,EQ,BSE,BSE
131011588,,511764,AASTAFIN,AASTAMANGALAM FINANCE ,0,,0,0.01,1,EQ,BSE,BSE
138748932,,541988,AAVAS,AAVAS FINANCIERS ,0,,0,0.05,1,EQ,BSE,BSE
138119172,,539528,AAYUSH,AAYUSH FOOD AND HERBS ,0,,0,0.05,1,EQ,BSE,BSE
133940228,,523204,ABAN,ABAN OFFSHORE.,0,,0,0.05,1,EQ,BSE,BSE
131114244,,512165,ABANSENT,ABANS ENTERPRISES,0,,0,0.05,1,EQ,BSE,BSE
128000516,,500002,ABB,ABB INDIA,0,,0,0.05,1,EQ,BSE,BSE
128124932,,500488,ABBOTINDIA,ABBOTT INDIA.,0,,0,0.05,1,EQ,BSE,BSE
138416900,,540691,ABCAPITAL,ADITYA BIRLA CAPITAL,0,,0,0.05,1,EQ,BSE,BSE
131358468,,513119,ABCGAS,ABC GAS (INTERNATIONAL).,0,,0,0.05,1,EQ,BSE,BSE
